GAME,PLAYER_ID,OFF_DEF_STATUS,TOTAL_DISTANCE,WALK_TIME%,JOG_TIME%,RUN_TIME%,SPRINT_TIME%,MAXSPEED_TIME%,NAME
2175533,893029,0,0.6523243659776834,0.5578145653679109,0.247057342481274,0.13533077358846857,0.048782023037703785,0.011015295524642789,Dominik Olejniczak
2175533,893029,1,0.33683271852749974,0.4824801532986586,0.25116342732001096,0.1946345469477142,0.05803449219819327,0.01368738023542294,Dominik Olejniczak
2175533,893029,2,0.31549164745018365,0.6219554830439342,0.24356135648525812,0.0848385969001282,0.04090432350541895,0.008740240065260458,Dominik Olejniczak
2175533,941267,0,2.6635148792857932,0.5339681946908162,0.31354059689415864,0.11164534901814334,0.03734478573429185,0.003501073662589861,Trent Forrest
2175533,941267,1,1.2843347890195513,0.48786695488459664,0.3269646468168189,0.13572972596053273,0.04682379192524928,0.0026148804128024545,Trent Forrest
2175533,941267,2,1.3791800902662419,0.5711274730215827,0.3027203237410072,0.09223246402877698,0.029704361510791366,0.004215377697841726,Trent Forrest
2175533,1063110,0,1.674968098272644,0.5498837611910768,0.27142998466636986,0.12365830736508879,0.04699015679873374,0.008037789978730772,Malik Osborne
2175533,1063110,1,0.8507908925161689,0.48249526145612665,0.2641320102575538,0.17499163786375294,0.06583788605195674,0.012543204370609878,Malik Osborne
2175533,1063110,2,0.8241772057564754,0.6036184210526315,0.27724928876244664,0.08272581792318634,0.03196123755334282,0.004445234708392603,Malik Osborne
2175533,1067656,0,1.5517436449980657,0.5238095238095238,0.2893772893772894,0.12893772893772895,0.047619047619047616,0.010256410256410256,M.J. Walker
2175533,1067656,1,0.7204999193306958,0.48731359106650646,0.23754328927839424,0.17739769595024382,0.08495300021202912,0.012792423492826348,M.J. Walker
2175533,1067656,2,0.8312437256673698,0.5496595915098118,0.3260913095714858,0.0946135362434922,0.02117541049259111,0.008460152182619142,M.J. Walker
2175533,1132051,0,2.786131270801217,0.523116329387807,0.27563001145475374,0.11534300623647703,0.06403525518645793,0.021875397734504264,Devin Vassell
2175533,1132051,1,1.3343372349173819,0.49820223070149694,0.24141473437041386,0.12965952450836513,0.09586879953037863,0.03485471088934546,Devin Vassell
2175533,1132051,2,1.4517940358838357,0.542191011235955,0.3018258426966292,0.10438202247191011,0.03966292134831461,0.011938202247191011,Devin Vassell
2175533,922370,0,1.261823558158419,0.5052502876869965,0.2969649021864212,0.109680667433832,0.07192174913693901,0.01618239355581128,Joey Brunk
2175533,922370,1,0.6304523848892997,0.5590914923649429,0.28987552932118565,0.08732195560118054,0.053637880148851534,0.010073142563839343,Joey Brunk
2175533,922370,2,0.6313711732691194,0.43658975617738505,0.3060055637375225,0.13819342169857635,0.09523809523809523,0.023973163148420882,Joey Brunk
2175533,1076246,0,2.1093852113127247,0.5632615626501288,0.2958902913045377,0.11246014761759182,0.02675022928767961,0.001637769140062017,Al Durham
2175533,1076246,1,1.3057546761701186,0.5094065463444478,0.3163046803303763,0.14442490058121749,0.028907922912205567,0.0009559498317528296,Al Durham
2175533,1076246,2,0.803630535142606,0.6349658894206293,0.26870990734141126,0.06990123205376235,0.023877405559515324,0.002545565624681804,Al Durham
2175533,1076247,0,2.880054560831722,0.5585022920961142,0.2534381441713073,0.13421837984186075,0.04422668676737532,0.009614497123342461,Justin Smith
2175533,1076247,1,1.6569618368741033,0.5363666103265907,0.26348072624175345,0.15187285317049234,0.03737527942860258,0.010904530832560929,Justin Smith
2175533,1076247,2,1.2230927239576186,0.5871698912582969,0.24043214235277502,0.1113543284846773,0.05309984465470979,0.007943793249541026,Justin Smith
2175533,1187568,0,1.8195895522740613,0.5676609547986743,0.2944080107185671,0.11207484192464096,0.020567425898502693,0.0052887666596149775,Armaan Franklin
2175533,1187568,1,1.0836253537748965,0.530549432267188,0.3074907457472029,0.1352992555005615,0.023541155429854844,0.0031194110551927795,Armaan Franklin
2175533,1187568,2,0.7359641984991648,0.6158918918918919,0.2774054054054054,0.08189189189189189,0.0167027027027027,0.008108108108108109,Armaan Franklin
2175533,1187569,0,2.701065294554682,0.6072374919644397,0.2598817792690384,0.10348233744649493,0.027438498565358505,0.0019598927546684644,Trayce Jackson-Davis
2175533,1187569,1,1.5401917433483578,0.6050664451827242,0.2600221483942414,0.10121816168327796,0.031616832779623474,0.0020764119601328905,Trayce Jackson-Davis
2175533,1187569,2,1.160873551206324,0.6100726707400846,0.25969847066054447,0.10643913373585451,0.021981995010665605,0.0018077298528507899,Trayce Jackson-Davis
2175533,1067652,0,1.9567669675266168,0.5551226174456205,0.2595954929803772,0.10845769145795256,0.06376910562574062,0.013055092490309105,RaiQuan Gray
2175533,1067652,1,1.0174267186548887,0.47944078947368424,0.26930401662049863,0.1525709833795014,0.0892053324099723,0.00947887811634349,RaiQuan Gray
2175533,1067652,2,0.9393402488717282,0.6206483042908001,0.25118980700768223,0.07026419336706015,0.041746299419149334,0.016151395915308224,RaiQuan Gray
2175533,1067654,0,1.4009155195404444,0.5510228353948621,0.2757790199809705,0.1144743101807802,0.049803758325404374,0.008920076117982874,Anthony Polite
2175533,1067654,1,0.6677617972288079,0.5425025720164609,0.26099537037037035,0.12532150205761317,0.061535493827160496,0.009645061728395061,Anthony Polite
2175533,1067654,2,0.7331537223116364,0.5583517699115044,0.2884955752212389,0.10514380530973451,0.039712389380530976,0.008296460176991151,Anthony Polite
2175533,1180120,0,0.22139393492624238,0.4686234817813765,0.32894736842105265,0.11639676113360324,0.06578947368421052,0.020242914979757085,RayQuan Evans
2175533,1180120,1,0.10744443111736501,0.46367787463677873,0.2922374429223744,0.1610626816106268,0.08302200083022,0.0,RayQuan Evans
2175533,1180120,2,0.11394950380887736,0.4733306993283287,0.36388779138680366,0.07388384037929673,0.04938759383642829,0.039510075069142635,RayQuan Evans
2175533,950134,0,2.3467304879632587,0.5740720363849765,0.2833406690140845,0.12058025234741784,0.0201731220657277,0.0018339201877934272,Devonte Green
2175533,950134,1,1.3756994104076055,0.5265836528347979,0.28989244393173413,0.15302140942557596,0.027957791877311438,0.0025447019305805314,Devonte Green
2175533,950134,2,0.9710310775556533,0.6299341448812612,0.2756336060666534,0.0824186789064059,0.01101576531630413,0.000997804829375374,Devonte Green
2175533,1076255,0,0.6109437148541464,0.5874170091685109,0.263989883022447,0.09800822004426178,0.0379386658235852,0.012646221941195067,Race Thompson
2175533,1076255,1,0.3160773108739702,0.5291655414528761,0.26721577099648935,0.13610586011342155,0.04725897920604915,0.020253848231163923,Race Thompson
2175533,1076255,2,0.2948664039801764,0.63872041859912,0.261148769175883,0.06445475086217148,0.029730051135687954,0.005946010227137591,Race Thompson
2175533,1138659,0,1.577997245903077,0.590014814044754,0.23325623099513995,0.11305455207006783,0.053928320815032356,0.009746082075005848,Damezi Anderson
2175533,1138659,1,0.9026636885607806,0.5821452176376168,0.2089982060239826,0.13025210084033614,0.06444150693985459,0.014162968558209801,Damezi Anderson
2175533,1138659,2,0.6753335573422965,0.5996530789245447,0.2629661751951431,0.09199190517490605,0.041052327262214514,0.004336513443191674,Damezi Anderson
2175533,1174908,0,0.4069617684708595,0.5770321361058601,0.24810964083175804,0.08506616257088846,0.04489603024574669,0.04489603024574669,Balsa Koprivica
