Joueur;Poste;Note;Variation;Buts;%Titu;Min note/but;Club;Victoire probable;%Victoire J+10;%Victoire J+14;%Victoire J+18;Clean sheet;But/Peno;But/Coup-franc;But|Surface;Pass D&but;Occas créée;Tirs;Tirs-1an;Tirs cadrés;Tirs cadrés-1an;Corners gagnés;%Passes;Ballons;Interceptions;Tacles;Duel G/P;Fautes;Buts évités;Actions stoppées;PossDef;PossMid;Centres G/P;Dégagements;Buts concédés;Ballons perdus;Passe>Tir;PassPerfo;Dépossédé;Plonge&Stop;Nb Gagné;Erreur>But;DiffButs;Gross ocaz manquée;Gross ocaz manquée-1an;Balle manquée;Bonus moy;Malus moy;Index MPGStats;Indispo ?
Gouiri;A;5,25;0,88;1;83;7;Marseille;78,6;66,907;65,096;64,196;1,5;;;;1;1;10;76;8;58;6;85,34;161;1;2;47,62;;;;3;7;50;;3;40;7;2;2;;4;;11;3;11;11;96;-46,23;3,2;FALSE
Le Bris;DL;5,25;0,82;1;50;6,5;Lorient;39,37;38,616;38,894;39,684;1;;;;;1;5;17;4;13;;90,14;147;1;4;63,16;2;;;4;5;53,33;4;7;15;2;6;1;;-1;;-6;;1;1;94,92;-61,42;-4,67;FALSE
Cresswell;DC;5,21;0,81;1;100;4;Toulouse;67,12;53,299;54,256;54,084;2;;;;;;8;35;4;23;1;86,45;404;5;;54,69;8;;;13;12;0;46;9;42;1;1;1;;;;-1;1;5;1;179,91;-150,21;-13,77;FALSE
Sulc;MO;5,21;0,64;1;14;6;Lyon;63,21;62,089;62,786;62,191;1;;;;1;2;7;7;4;4;3;50,49;68;1;;29,17;7;;;2;2;0;;4;22;2;1;2;;3;;4;1;1;8;67,21;-38,29;-1,24;FALSE
Karabec;MO;5,21;0,7;1;71;6,5;Lyon;63,21;62,089;62,786;62,191;5;;;;;;5;5;5;5;6;71,93;200;1;1;55,88;7;;;1;1;53,57;1;;44;8;7;2;;3;;4;1;1;11;90,34;-55,19;-0,1;FALSE
Balogun;A;5,2;0,84;1;60;6;Monaco;77,91;57,518;60,319;59,308;1;;;;1;1;11;20;4;11;2;69,22;126;2;2;47,06;6;;;1;4;50;;4;42;2;8;4;;;;-1;1;3;11;101,46;-57,12;2,88;FALSE
Vaz;A;5,17;0,98;1;17;6,5;Marseille;78,6;66,907;65,096;64,196;1;;;;1;1;3;5;3;4;2;41,67;42;1;3;46,67;4;;;;1;50;1;2;12;2;6;2;;2;;6;2;3;6;70,08;-16,38;3,9;TRUE
Leroux;MO;5,14;0,69;1;71;6,5;Nantes;23,92;41,358;41,8;41,795;1;;;;;;3;12;3;10;1;71,57;248;3;7;57,58;3;;;7;7;61,11;10;3;53;4;12;3;;-2;;-2;;1;8;106,43;-78,14;-7,11;FALSE
Embolo;A;5,13;0,95;1;100;6,5;Rennes;57,29;46,206;47,639;46,507;0,5;;;;;;3;42;2;29;;62,77;84;2;2;35,14;10;;;3;5;100;1;3;31;2;2;6;;1;;2;;12;4;77,28;-33,08;5,78;FALSE
Vossah;MO;5,13;1,18;1;0;6;Toulouse;67,12;53,299;54,256;54,084;;;;1;1;1;3;3;2;2;;54,81;40;1;;42,86;1;;;;;50;3;1;7;1;1;1;;;;-2;;;;83,13;-53,62;0,33;FALSE
Bentaleb;MD;5,07;0,61;1;29;6;Lille;76,08;71,844;67,073;68,927;;1;;;;;6;11;5;7;;83,36;194;;;62,5;3;;;2;11;57,14;4;4;27;2;2;;;1;;4;;;;70,14;-45,64;-3,74;FALSE
Peprah Oppong;DC;5,07;0,89;1;86;5;Nice;36,79;44,669;46,073;47,603;2;;;;;1;3;3;3;3;1;87,13;478;8;11;60;8;;;9;8;62,5;23;9;40;6;5;3;;-1;;-3;;;1;172,36;-156,71;-17,43;FALSE
Guilavogui;A;5;0,76;1;29;6;Lens;71,29;60,74;60,25;60,218;;;;;;1;7;7;3;3;1;71,43;141;1;6;72,5;3;;;7;4;50;3;2;35;1;9;;;2;;4;3;3;6;72,77;-35,29;3,34;FALSE
Édouard;A;5;1,22;1;75;6,5;Lens;71,29;60,74;60,25;60,218;0,5;;;;;1;4;4;3;3;;88,89;60;;1;32;3;;;2;1;0;2;2;17;2;1;6;;1;;2;2;2;5;71,75;-31,9;6,6;TRUE
Sima;A;5;1,41;1;0;6;Lens;71,29;60,74;60,25;60,218;;;;;;;1;32;1;23;;58,34;26;;1;66,67;;;;;;0;1;1;8;2;2;;;;;-1;;8;2;78,8;-17,5;15,5;FALSE
El-Arabi;A;5;1,17;1;0;7;Nantes;23,92;41,358;41,8;41,795;;;;;;;1;1;1;1;1;43,33;25;;1;45,45;4;;;1;4;0;1;;10;1;1;;;-2;;-2;;;3;41,6;-7,04;5,92;FALSE
Lahdo;MO;5;0,82;1;75;6;Nantes;23,92;41,358;41,8;41,795;0,5;;;;;;2;2;1;1;;87,28;96;;2;39,29;5;;;1;1;0;1;2;22;2;6;3;;-1;;-1;;;8;72,63;-38,67;0,88;FALSE
Emersonn;A;5;1,32;1;33;6,5;Toulouse;67,12;53,299;54,256;54,084;;;;;;;9;9;3;3;;80,56;37;1;;36,84;3;;;;1;0;1;1;11;1;2;;;;;;2;2;5;87,6;-44,27;9,03;FALSE
Meïté;A;4,92;1,28;1;33;7,5;Rennes;57,29;46,206;47,639;46,507;;;;;1;1;7;22;5;14;2;68,38;52;1;;52,94;3;;;1;3;0;2;1;12;2;3;2;;1;;-1;1;4;;56,68;-12,43;5,25;FALSE
Abdelli;MO;4,88;1,44;1;50;6,5;Angers;22,09;31,169;32,475;32,021;;1;;;;;2;30;2;18;1;83,11;147;5;2;36,84;2;;;1;7;50;3;7;32;2;4;3;;-3;;-8;;2;2;91,25;-98;-1,55;FALSE
Gory;A;4,88;0,85;1;0;6;Paris FC;28,71;31,83;34,544;33,762;;;;;;;2;32;1;23;1;94,38;52;;2;54,55;2;;;3;2;50;;5;10;;2;1;;-2;;-4;;1;6;49,98;-19,12;7,2;TRUE
Dicko;A;4,88;1,44;1;0;7;Paris FC;28,71;31,83;34,544;33,762;;;;;1;1;3;28;1;16;;75;15;;;36,36;3;;;;;0;;2;4;1;;1;;-1;;-1;;5;;50,95;-9,1;7,63;FALSE
