Joueur;Poste;Note;Variation;Buts;%Titu;Min note/but;Club;Victoire probable;%Victoire J+10;%Victoire J+14;%Victoire J+18;Clean sheet;But/Peno;But/Coup-franc;But|Surface;Pass D&but;Occas créée;Tirs;Tirs-1an;Tirs cadrés;Tirs cadrés-1an;Corners gagnés;%Passes;Ballons;Interceptions;Tacles;Duel G/P;Fautes;Buts évités;Actions stoppées;PossDef;PossMid;Centres G/P;Dégagements;Buts concédés;Ballons perdus;Passe>Tir;PassPerfo;Dépossédé;Plonge&Stop;Nb Gagné;Erreur>But;DiffButs;Gross ocaz manquée;Gross ocaz manquée-1an;Balle manquée;Bonus moy;Malus moy;Index MPGStats;Indispo ?
Francis;MD;5,5;0,41;0;75;;Toulouse;67,12;53,299;54,256;54,084;1;;;;;;3;3;2;2;;79,99;153;4;8;74,07;3;;;9;7;0;5;3;24;;8;2;;-1;;-1;;;1;124,5;-73,5;-5,1;FALSE
Sangaré;MD;5,5;1,26;0;83;;Lens;71,29;60,74;60,25;60,218;1,5;;;;;;5;5;3;3;1;84,13;348;5;6;52,78;5;;;12;23;0;9;4;67;5;13;8;;3;;5;;;15;194,08;-128,58;-14,4;FALSE
Maitland-Niles;DL;5,43;0,89;0;100;6;Lyon;63,21;62,089;62,786;62,191;5;;;;2;2;4;21;1;10;3;84,34;437;13;14;50;10;;;18;7;52,63;14;5;58;6;15;5;;3;;4;1;4;6;189,71;-148,36;-13,34;FALSE
Aguilar;DL;5,43;0,45;0;100;5,5;Lens;71,29;60,74;60,25;60,218;1,5;;;;;3;5;14;2;10;3;83,65;364;7;7;62,16;4;;;11;7;59,52;8;6;54;12;16;1;;2;;4;;2;7;158,79;-113;-8,66;FALSE
Niakhaté;DC;5,43;1,02;0;100;;Lyon;63,21;62,089;62,786;62,191;5;;;;;1;1;2;;;;89,2;623;7;3;64,71;14;;;17;8;0;43;5;57;4;9;1;;3;;4;;;4;175,93;-135,29;-7,97;FALSE
Bouaddi;MD;5,43;1,1;0;86;;Lille;76,08;71,844;67,073;68,927;1;;;;;;6;9;5;8;5;81,66;285;9;6;51,72;12;;;11;21;50;7;7;51;4;19;5;;1;;4;1;1;10;171,93;-121,86;-8,66;FALSE
El Mourabet;MO;5,43;0,84;0;57;;Strasbourg;18,29;52,126;51,866;51,603;4;;;;;1;4;4;3;3;;92,66;312;2;2;48,57;4;;;6;16;66,67;3;2;41;2;7;5;;3;;7;;;6;122,71;-61,71;-7,77;FALSE
Diaz;DC;5,42;0,86;0;83;;Brest;60,63;46,703;47,511;48,014;1,5;;;;;;3;14;2;7;1;84,38;276;8;4;62,07;;;;12;6;0;31;5;34;1;5;;;-1;;;;;4;132,58;-89,33;-7,03;FALSE
Baidoo;DC;5,42;0,97;0;83;;Lens;71,29;60,74;60,25;60,218;1,5;;;;;;3;3;3;3;1;93,94;272;7;5;43,24;7;;;16;9;0;23;4;16;;2;1;;1;;3;;;1;140,73;-95,67;-5,28;FALSE
Özer;G;5,42;1,11;0;100;;Lille;76,08;71,844;67,073;68,927;1;;;;;;;;;;;NaN;;;;62,5;;11;3;;;0;6;9;;;;;10;2;;5;;;;114,17;-72,5;-16,7;FALSE
Vanhoutte;MD;5,38;1,7;0;100;;Nice;36,79;44,669;46,073;47,603;3;;;;1;1;2;2;2;2;;85,05;275;3;7;63,89;5;;;6;12;60;12;3;42;3;7;2;;;;-2;;;3;183,38;-123,87;-14,35;FALSE
Weah;MO;5,36;0,48;0;86;;Marseille;78,6;66,907;65,096;64,196;3,5;;;;;;6;25;5;18;6;87,07;290;4;11;59,52;6;;;5;4;58,82;6;4;40;6;11;1;;3;;10;1;2;8;118,14;-69,19;-5,06;FALSE
Lefort;DL;5,36;1,41;0;100;;Angers;22,09;31,169;32,475;32,021;1;;;;1;2;2;10;;3;;84,64;434;9;8;73,68;1;;;17;5;60;43;10;53;4;6;2;;-3;;-8;;1;2;163,27;-132,14;-12,64;FALSE
Chevalier;G;5,36;0,75;0;100;;Paris;81,71;86,587;84,868;85,501;4;;;;;;;;;;;NaN;;;;0;;7;4;;;0;3;5;;;;;4;4;1;8;;;;82,57;-39,29;-3,81;FALSE
Camara;DC;5,36;0,56;0;86;;Angers;22,09;31,169;32,475;32,021;1;;;;;;1;2;;;;86,74;288;6;7;60;4;;;9;6;50;35;5;31;;2;;;-3;;-8;;;4;102,37;-68,29;-2,54;FALSE
Belkhdim;MD;5,36;1,07;0;100;7;Angers;22,09;31,169;32,475;32,021;1;;;;1;3;4;10;2;6;3;83,27;325;6;12;58;7;;;20;9;55,56;7;10;48;6;14;6;;-3;;-8;;1;5;165,43;-110,36;-5,41;FALSE
Sauer;MO;5,36;0,38;0;71;;Toulouse;67,12;53,299;54,256;54,084;1;;;;;;5;5;4;4;;80,93;168;6;4;62,5;4;;;7;16;50;6;7;28;1;6;1;;;;-1;;;7;96,57;-53;-4,21;FALSE
Traoré;DL;5,33;0,76;0;100;7;Paris FC;28,71;31,83;34,544;33,762;1;;;;;;2;3;1;2;;90,13;185;3;7;68,18;2;;;7;1;50;5;2;17;1;3;;;;;1;1;2;2;127,67;-101;-4,43;FALSE
Golovin;MO;5,33;0,29;0;100;6;Monaco;77,91;57,518;60,319;59,308;0,5;;;;;;4;22;3;16;2;80,08;162;2;2;42,31;5;;;5;7;50;2;2;34;;7;3;;1;;2;;1;5;121;-93,33;-5,67;TRUE
Nadir;MD;5,3;0,67;0;40;6;Marseille;78,6;66,907;65,096;64,196;1;;;;2;1;3;11;3;8;6;90,83;109;;3;33,33;2;;;2;2;60;;;20;4;1;2;;3;;10;;;3;72,1;-26,8;-2,72;FALSE
Tagliafico;DL;5,3;0,97;0;60;7;Lyon;63,21;62,089;62,786;62,191;2;;;;1;1;2;26;;19;2;82,56;269;3;4;51,11;8;;;10;6;54,55;12;2;32;3;8;;;3;;5;1;2;;142,7;-119,3;-10,78;FALSE
Diouf;G;5,29;1,8;0;100;;Nice;36,79;44,669;46,073;47,603;1;;;;;;;;;;;NaN;;;;50;;11;12;;;0;6;9;;;;;12;-1;;-3;;;;117,14;-77,14;-15,69;FALSE
Fofana;MD;5,29;0,49;0;71;6,5;Rennes;57,29;46,206;47,639;46,507;1,5;;;;;;5;29;1;14;;90;354;2;1;64,29;2;;;14;12;57,14;4;8;43;11;4;4;;1;;-1;;4;6;129,79;-86;-7,06;FALSE
Lemaréchal;MO;5,29;1,04;0;86;7;Strasbourg;18,29;52,126;51,866;51,603;3;;;;2;2;9;34;5;23;2;75,37;305;1;5;51,47;6;;;5;8;58,33;7;4;76;7;10;10;;3;;7;1;5;18;138,61;-90,21;-6,69;FALSE
Zaïre-Emery;MD;5,29;0,76;0;71;8;Paris;81,71;86,587;84,868;85,501;4;;;;;1;3;17;2;15;2;93,42;502;3;5;41,3;11;;;14;9;50;5;4;46;10;17;6;;4;;8;;2;6;124,14;-88,14;-10,07;FALSE
Clinton Mata;DL;5,29;1,35;0;100;;Lyon;63,21;62,089;62,786;62,191;5;;;;;;2;4;;1;;91,8;521;4;3;54,29;4;;;13;9;50;27;5;44;1;3;1;;3;;4;;;7;146,64;-120,86;-10,6;FALSE
Marquinhos;DC;5,25;1,06;0;100;6,5;Paris;81,71;86,587;84,868;85,501;2;;;;;;;5;;3;;94,32;199;;6;80;;;;5;2;50;3;1;11;1;;1;;;;;;;;142,25;-111,5;-0,75;TRUE
Emerson;DL;5,25;0,65;0;50;;Marseille;78,6;66,907;65,096;64,196;2;;;;;;3;17;;10;;86,65;205;1;2;45,45;4;;;2;3;53,85;7;;23;2;4;3;;4;;9;;3;;104,25;-87,5;-7,22;FALSE
Khadra;MO;5,25;0,35;0;50;7;Le Havre;21,4;33,361;32,121;31,78;0,5;;;;;;3;3;3;3;1;78,24;48;;;57,14;2;;;1;2;50;;;15;2;3;2;;-1;;-1;;;3;71,9;-30,75;-0,5;TRUE
Cásseres;MD;5,25;1,37;0;83;6;Toulouse;67,12;53,299;54,256;54,084;1;;;;;2;4;16;2;9;1;84,7;295;7;9;65,12;6;;;18;13;58,82;5;7;49;10;8;4;;-1;;-2;1;2;5;182,92;-149,42;-8,53;FALSE
Moreira;DL;5,25;0,99;0;83;7;Strasbourg;18,29;52,126;51,866;51,603;2;;;;1;4;4;24;3;13;5;79,62;294;1;7;45,45;2;;;9;5;56,76;9;5;63;12;11;5;;2;;6;;3;9;175,65;-138,75;-13,47;FALSE
Vermeeren;MD;5,25;0,35;0;0;;Marseille;78,6;66,907;65,096;64,196;;;;;1;;;;;;;100;30;1;1;50;1;;;;;0;;;;1;;;;2;;7;;;;29,5;-4,5;0,1;FALSE
Pacho;DC;5,25;0,5;0;75;;Paris;81,71;86,587;84,868;85,501;2;;;;;;;3;;1;;97,73;317;1;5;71,43;1;;;10;11;0;13;4;9;;5;1;;1;;3;;;1;112,25;-66,25;-2,92;FALSE
Kamanzi;DL;5,21;0,27;0;29;6;Toulouse;67,12;53,299;54,256;54,084;;;;;;;5;12;4;9;2;84,87;129;;2;51,72;1;;;5;2;60;9;5;20;4;3;3;;;;-1;;2;1;77,89;-63,79;-8,23;FALSE
Ngoy;DC;5,21;1,07;0;100;;Lille;76,08;71,844;67,073;68,927;1;;;;1;2;9;9;4;4;;89,71;512;13;9;57,14;8;;;14;8;66,67;33;10;46;3;5;;;1;;4;1;1;3;176,64;-155,29;-14,87;FALSE
Gradit;DC;5,2;1,04;0;100;7;Lens;71,29;60,74;60,25;60,218;1;;;;;;1;10;;4;;73,16;244;10;8;48,94;10;;;11;4;50;24;4;19;;1;;;2;;4;;;2;155,58;-136,7;-8,32;FALSE
Saud Abdulhamid;DL;5,2;0,45;0;0;;Lens;71,29;60,74;60,25;60,218;;;;;1;;1;2;1;1;1;84,48;75;;2;70;;;;3;2;50;2;;9;2;4;;;;;2;;;2;54,1;-25,9;-0,28;FALSE
Magnetti;MD;5,17;0,82;0;100;6;Brest;60,63;46,703;47,511;48,014;1,5;;;;;;6;23;3;13;;84,98;267;7;10;50;7;;;19;11;50;6;8;39;2;12;5;;;1;1;;1;3;142,5;-107,25;-4,63;FALSE
Egan-Riley;DC;5,17;1,04;0;100;;Marseille;78,6;66,907;65,096;64,196;;;;;;1;;;;;;93,13;226;;2;66,67;1;;;1;7;50;9;3;17;2;2;;;-1;;1;;;2;123,83;-132,67;-10,5;FALSE
Youté;DC;5,17;0,29;0;67;;Le Havre;21,4;33,361;32,121;31,78;0,5;;;;;;;12;;3;;51,21;93;;;25;2;;;4;5;0;12;3;13;1;1;;;-2;;-3;;3;1;86,5;-68,33;-3;FALSE
Louchet;DL;5,17;1,17;0;50;6;Nice;36,79;44,669;46,073;47,603;0,5;;;;2;4;5;16;3;11;3;83,29;194;3;4;53,33;5;;;5;3;57,89;10;4;35;8;6;1;;-1;;-3;;;7;134,42;-96,25;-9,22;FALSE
Idumbo;MO;5,17;0,76;0;0;;Monaco;77,91;57,518;60,319;59,308;;;;;1;1;5;10;3;7;1;100;40;;1;50;;;;;;50;;2;2;3;;2;;;;1;1;1;;62,17;-32;-1,13;FALSE
Lees-Melou;MO;5,14;0,63;0;86;6;Paris FC;28,71;31,83;34,544;33,762;1;;;;;;8;29;5;18;2;87,37;437;2;14;50;13;;;15;23;54,55;8;9;60;6;15;6;;1;;1;;;6;164,86;-136,79;-10,57;FALSE
Lloris;DC;5,14;1,03;0;100;3;Le Havre;21,4;33,361;32,121;31,78;1,5;;;;1;1;2;10;1;5;;91,16;536;9;6;61,22;8;;;13;9;0;38;8;33;2;3;1;;-2;;-2;1;2;1;135,73;-124,71;-8,77;FALSE
Merlin;DL;5,14;1,38;0;100;7;Rennes;57,29;46,206;47,639;46,507;1,5;;;;2;3;9;32;7;23;9;78,45;500;3;3;46,34;1;;;18;11;53,57;16;9;111;7;28;7;;1;;-1;;3;6;210,21;-195,86;-23,44;FALSE
Kouassi;DL;5,14;1,7;0;86;;Lorient;39,37;38,616;38,894;39,684;2;;;;1;;1;7;1;5;5;83,83;340;4;5;61,22;4;;;20;7;55,32;9;11;49;7;8;3;;-2;;-7;;2;2;185,96;-171,36;-15,74;FALSE
Fischer;G;5,14;1,11;0;100;;Metz;32,88;31,043;30,698;29,793;1;;;;;;;;;;;NaN;;;;100;;18;8;;;0;9;14;;;;;10;-5;;-11;;;;135,07;-112,86;-34,06;FALSE
Coquelin;MD;5,13;0,63;0;50;6,5;Nantes;23,92;41,358;41,8;41,795;1;;;;;;3;10;3;6;2;91,67;87;2;2;41,67;3;;;3;5;0;2;;14;;1;2;;-1;;-1;;1;1;67,38;-41,37;-4,67;TRUE
Frankowski;DL;5,13;0,48;0;100;6;Rennes;57,29;46,206;47,639;46,507;1;;;;;;4;17;3;13;1;74,58;247;2;7;62,07;4;;;4;6;53,33;10;3;45;3;13;2;;2;;3;;;4;154,63;-142;-11,02;FALSE
Vanderson;DL;5,13;0,25;0;50;7,5;Monaco;77,91;57,518;60,319;59,308;;;;;1;1;1;18;;13;5;83,87;184;5;3;52;4;;;6;4;61,9;10;4;29;3;5;2;;;;;;2;2;142,5;-131,37;-12,22;TRUE
Rafael Luís;MD;5,13;0,48;0;50;;Strasbourg;18,29;52,126;51,866;51,603;1;;;;;;1;1;1;1;;86,95;149;1;5;64,29;2;;;1;6;50;4;3;19;3;4;;;2;;6;;;5;79,5;-54,87;-7,6;FALSE
Amo-Ameyaw;A;5,1;0,89;0;20;6,5;Strasbourg;18,29;52,126;51,866;51,603;1;;;;1;1;2;11;1;10;2;90,8;144;1;2;52,63;4;;;3;1;54,55;;3;25;3;4;7;;1;;5;;;5;95,68;-71,3;-3,98;FALSE
Coulibaly;MO;5,1;0,55;0;0;6,5;Auxerre;42,71;43,938;41,734;43,012;;;;;;;;1;;1;1;84,89;69;3;3;68,18;4;;;4;7;50;;2;16;;4;1;;-3;;-5;;;6;56,9;-23,8;-0,18;TRUE
Guirassy;A;5,1;0,82;0;60;6,5;Nantes;23,92;41,358;41,8;41,795;1;;;;1;1;5;11;3;8;2;53,41;112;3;4;46,34;5;;;9;2;66,67;4;;45;1;9;6;;-1;;-1;1;1;6;76,84;-46,04;-2,26;FALSE
Otávio;DC;5,1;1,29;0;100;;Paris FC;28,71;31,83;34,544;33,762;2;;;;;;2;2;;;;89,07;417;9;5;62,22;8;;;9;6;0;46;7;37;1;1;1;;2;;1;;;2;193,2;-186,5;-13,14;FALSE
Kwon Hyeok-Kyu;MD;5,1;0,55;0;40;;Nantes;23,92;41,358;41,8;41,795;0,5;;;;;;;;;;;82,95;112;1;;43,48;4;;;2;2;0;10;2;12;;6;1;;-1;;-1;;;2;57,9;-38,1;-3,96;FALSE
Cozza;DL;5,08;0,49;0;83;6;Nantes;23,92;41,358;41,8;41,795;1;;;;;;1;17;1;8;;57,78;246;3;3;59,38;5;;;9;3;50;17;4;58;1;6;;;-2;;-2;;3;4;88,67;-92,25;-11,1;FALSE
Chardonnet;DC;5,08;1,46;0;100;7,5;Brest;60,63;46,703;47,511;48,014;1,5;;;;;;5;15;4;9;1;87,12;348;6;2;47,22;4;;;9;8;0;37;8;38;3;8;;;;1;2;1;2;2;159,75;-151,67;-15,75;FALSE
Nkambadio;G;5,08;1,63;0;100;;Paris FC;28,71;31,83;34,544;33,762;1;;;;;;;;;;;NaN;;;;0;;12;4;;;0;4;9;;;;;6;-1;1;-2;;;;102,42;-92,5;-21;FALSE
Mousa Tamari;A;5,08;0,74;0;33;7;Rennes;57,29;46,206;47,639;46,507;1,5;;;;1;1;14;52;9;34;3;82,78;150;1;5;39,29;4;;;4;5;62,5;1;2;41;7;7;6;;2;;3;1;6;7;74,63;-32,9;-0,42;FALSE
Négo;DL;5,08;0,8;0;100;;Le Havre;21,4;33,361;32,121;31,78;0,5;;;;;1;7;15;3;7;5;79,84;446;6;3;60;6;;;14;11;56,52;21;5;66;4;13;1;;-1;1;;;;2;161,83;-168,33;-10,82;FALSE
Karim;MO;5,08;1,02;0;83;;Lorient;39,37;38,616;38,894;39,684;1;;;;1;1;3;3;;;1;84,76;222;2;4;42,86;7;;;9;8;50;;10;51;4;8;9;;-1;;-5;;;10;120,67;-100,02;-4,45;TRUE
Awaziem;DC;5,07;0,45;0;100;;Nantes;23,92;41,358;41,8;41,795;1,5;;;;;;;;;;;86,55;574;6;2;65,12;5;;;18;6;0;42;5;66;2;6;;;-2;;-2;;;3;120,46;-107,21;-4,84;FALSE
Abline;A;5,07;0,73;0;57;5,5;Nantes;23,92;41,358;41,8;41,795;0,5;;;;1;2;14;67;8;44;7;60,45;177;2;2;50;10;;;8;4;55,56;2;5;57;6;9;10;;-2;;-2;2;8;11;105,41;-66,93;-1,81;FALSE
Touré;MD;5,07;0,19;0;14;;Metz;32,88;31,043;30,698;29,793;1;;;;;;;5;;4;1;90,82;154;1;5;58,33;2;;;10;4;53,33;4;5;19;1;9;3;;-5;;-11;;;1;60,43;-41,43;-2,24;FALSE
Capelle;MO;5;0;0;0;;Angers;22,09;31,169;32,475;32,021;;;;;;1;;5;;1;;78,13;29;1;1;25;;;;1;1;66,67;1;1;6;2;2;1;;-2;;-2;;;;57;-37,5;-3,1;FALSE
Dioussé;MD;5;0;0;0;;Auxerre;42,71;43,938;41,734;43,012;;;;;;;1;3;1;3;;92,86;11;;;0;;;;;1;0;;;2;1;2;;;;;-1;;;1;17,5;-6;-0,85;TRUE
Lala;DL;5;0,76;0;100;5,5;Brest;60,63;46,703;47,511;48,014;1,5;;;;1;2;3;12;3;9;6;76,98;474;4;4;53,19;1;;;24;7;66,67;21;10;97;10;18;2;;-1;;;;;6;182,71;-194,93;-21,63;FALSE
Kyeremeh;A;5;0,87;0;0;;Le Havre;21,4;33,361;32,121;31,78;;;;;1;1;1;21;;14;;75;22;;2;62,5;;;;;;100;;;6;1;;1;;-2;;-3;;3;1;42,43;-9,8;0,13;FALSE
Delaine;DL;5;0;0;33;6;Le Havre;21,4;33,361;32,121;31,78;;;;;;;1;1;;;;72,71;117;2;;33,33;2;;;3;2;56,52;3;1;20;2;2;;;1;;2;;;;69,33;-67,33;-4,83;TRUE
Lirola;DL;5;0;0;0;7,5;Marseille;78,6;66,907;65,096;64,196;;;;;;;;4;;2;1;80;8;;;33,33;;;;;;50;;1;2;1;1;;;-1;;-1;;;;28,5;-52,5;-8,7;TRUE
Dina Ebimbe;MO;5;0;0;25;;Brest;60,63;46,703;47,511;48,014;0,5;;;;;;2;2;2;2;1;77,38;43;;3;69,23;1;;;;2;50;1;;12;;2;1;;1;;4;1;1;2;30,63;-25;-1,83;FALSE
Boudaoui;MO;5;0,5;0;86;7;Nice;36,79;44,669;46,073;47,603;2;;;;2;2;11;44;8;32;5;84,91;324;5;3;42,31;8;;;5;15;63,64;8;8;66;8;6;9;;-1;;-3;2;6;13;162;-141,79;-14,77;FALSE
De Smet;DL;5;0,5;0;80;;Paris FC;28,71;31,83;34,544;33,762;2;;;;;;2;8;;3;2;88,28;300;1;;56;4;;;11;9;60;16;5;32;1;6;1;;2;;3;;;1;109,2;-111,3;-12,02;FALSE
Medina;DC;5;0;0;100;8;Marseille;78,6;66,907;65,096;64,196;1;;;;;;;21;;13;;95,42;154;;4;61,54;3;;;1;2;0;3;1;10;;1;1;;2;;5;;1;3;92,25;-76,5;-6,45;TRUE
Coudert;G;5;1;0;67;;Brest;60,63;46,703;47,511;48,014;;;;;;;;;;;;NaN;;;;0;;8;1;;;0;2;5;;;;;3;-1;;;;;;95,33;-70;-14,43;FALSE
Benhattab;MO;5;0;0;67;;Nantes;23,92;41,358;41,8;41,795;1;;;;;1;3;3;2;2;5;69,24;161;;4;45,83;3;;;9;8;54,17;2;2;53;5;7;2;;-2;;-2;;;17;73,02;-58,63;-2,83;FALSE
Senaya;DL;5;0,76;0;100;6,5;Auxerre;42,71;43,938;41,734;43,012;2;;;;;;8;8;7;7;6;75,39;385;13;8;65,48;9;;;10;11;58,06;29;9;71;2;9;2;;-3;;-5;2;2;3;189,07;-198,29;-16,44;FALSE
De Percin;G;5;0,87;0;67;;Auxerre;42,71;43,938;41,734;43,012;;;;;;;;;;;;NaN;;;;100;;1;2;;;0;2;4;;;;;5;-3;;-4;;;;70;-53,33;-30,47;FALSE
Sy;DL;5;0;0;0;;Auxerre;42,71;43,938;41,734;43,012;;;;;;1;;2;;1;;72,23;22;;1;100;;;;1;2;50;1;2;4;1;;;;-2;;-3;;;1;40;-34,25;-3,65;FALSE
Diaw;G;5;1,44;0;100;;Le Havre;21,4;33,361;32,121;31,78;1;;;;;;;;;;;NaN;;;;83,33;;9;4;;;0;5;8;;;;;7;-2;1;-2;;;;84,43;-72,14;-15,16;FALSE
Enciso;MO;5;0;0;0;;Strasbourg;18,29;52,126;51,866;51,603;;;;;;;2;50;2;34;;57,14;15;;;50;;;;;1;0;;;6;;2;;;1;;5;;1;1;41;-17,5;-2,1;FALSE
Raolisoa;DL;5;0,55;0;100;6,5;Angers;22,09;31,169;32,475;32,021;1;;;;;2;2;15;2;4;5;69,68;239;3;8;53,7;8;;;9;6;55,56;2;7;76;6;7;6;;-2;;-6;;;17;111,12;-98,48;-6,42;FALSE
Abner Vinícius;DL;5;0,82;0;100;7;Lyon;63,21;62,089;62,786;62,191;3;;;;;1;3;6;2;4;2;84,67;196;2;5;45,83;6;;;7;1;55,56;8;3;26;2;3;2;;2;;3;1;2;1;139,38;-137,62;-13,77;TRUE
Owusu;MD;5;0,65;0;100;8,5;Auxerre;42,71;43,938;41,734;43,012;2;;;;;;2;7;;2;;80,54;319;7;14;52,38;12;;;19;14;50;13;9;59;2;14;5;;-3;;-5;;;8;145,93;-121,71;-11,2;FALSE
El Azzouzi;MD;5;0;0;0;;Auxerre;42,71;43,938;41,734;43,012;;;;;;;;;;;;100;20;;;33,33;1;;;1;1;0;1;;1;;;;;-1;;-1;;;;63,5;-29,5;-0,4;TRUE
Amougou;MO;5;0,5;0;67;;Strasbourg;18,29;52,126;51,866;51,603;;;;;;;2;5;1;3;;79,37;64;1;3;80;;;;1;4;0;;4;9;1;4;;;1;;1;1;1;2;76,83;-52;-3,2;FALSE
Jacquet;DC;5;1,19;0;100;;Rennes;57,29;46,206;47,639;46,507;1,5;;;;;;1;14;1;6;;91,09;533;5;5;61,29;12;;;17;12;0;41;9;40;3;4;;;1;1;-1;;3;3;161,36;-164,86;-12,01;FALSE
Osman;A;5;0,77;0;50;;Auxerre;42,71;43,938;41,734;43,012;1;;;;2;;6;6;5;5;4;80,85;118;1;2;37,5;3;;;2;8;50;1;4;40;5;10;4;;-4;;-6;2;2;9;80,37;-43,2;-2,05;FALSE
Tabibou;MO;5;0,58;0;29;;Nantes;23,92;41,358;41,8;41,795;0,5;;;;;1;4;6;;1;1;68,54;126;3;2;55,56;4;;;5;3;50;3;1;25;4;2;2;;-2;;-2;;;5;61,14;-40,64;-3,53;FALSE
Mosengo;MD;5;0;0;0;;Le Havre;21,4;33,361;32,121;31,78;;;;;;;;;;;;85,71;10;;;50;;;;1;;0;;;2;;;;;-1;;-2;;;1;15,5;-17;-2,5;FALSE
Bermont;MO;5;0;0;0;;Lens;71,29;60,74;60,25;60,218;;;;;;;1;26;;16;3;73,87;43;;;66,67;;;;;4;60;;;10;;2;1;;-1;;-1;;2;1;41,67;-24,33;-1,9;FALSE
Bakola;MD;5;0;0;0;;Marseille;78,6;66,907;65,096;64,196;;;;;;;;;;;;100;14;;;66,67;;;;1;1;50;;2;1;;;;;-1;;1;;;;14,33;-13;-0,17;FALSE
Messali;MD;5;0;0;0;;Toulouse;67,12;53,299;54,256;54,084;;;;;;;;4;;2;;66,67;7;;1;66,67;;;;;;0;2;;1;;;;;-1;;-1;;1;;29;-10,5;;TRUE
Oppegård;DL;5;0,35;0;40;;Auxerre;42,71;43,938;41,734;43,012;1;;;;;;1;4;1;3;1;84,59;112;2;5;63,16;1;;;4;3;58,82;6;3;23;2;3;;;-1;;-2;;;3;78,9;-91,9;-6,38;FALSE
Le Guen;DC;5;0;0;0;;Brest;60,63;46,703;47,511;48,014;;;;;;;;;;;;50;4;;;0;;;;;;0;;1;2;;;;;-1;;-2;;;;5;-28;-7,4;FALSE
Radakovic;DC;5;0;0;0;;Nantes;23,92;41,358;41,8;41,795;;;;;;;;;;;;33,33;4;;;0;;;;;;0;1;;2;;;;;;;;;;;6,5;-8;-0,9;FALSE
Broholm;A;5;0;0;100;;Lille;76,08;71,844;67,073;68,927;;;;;;;;;;;;74,6;61;;2;45,45;1;;;;3;50;1;1;17;1;1;1;;1;;6;;;3;56,75;-47,5;-3,9;FALSE
Bulatovic;MO;5;0;0;0;;Lens;71,29;60,74;60,25;60,218;;;;;;;;;;;;33,33;7;;;50;1;;;;;0;;;3;;1;;;1;;1;;;;15;-15;-1,6;FALSE
Bamba;MD;5;0,71;0;50;;Monaco;77,91;57,518;60,319;59,308;;;;;;;;;;;;87,47;151;2;6;65,52;4;;;3;4;0;3;2;17;;5;4;;4;;7;;;2;74,88;-62,12;-6,18;TRUE
de Carvalho;MO;5;0;0;0;;Lyon;63,21;62,089;62,786;62,191;;;;;;;1;1;;;;50;17;;1;100;;;;;;0;2;;;;;;;2;;2;;;;12,75;-3,25;0,35;FALSE
Louãr;DL;5;0;0;0;;Angers;22,09;31,169;32,475;32,021;;;;;;;;;;;;90;16;;;0;;;;;1;66,67;1;;2;1;1;;;-1;;-2;;;1;41,5;-14,5;0,4;TRUE
Hong Hyun-Seok;MO;5;0,55;0;50;;Nantes;23,92;41,358;41,8;41,795;1,5;;;;;;4;4;3;3;2;75,46;128;3;6;61,9;;;;5;5;50;4;3;30;1;7;3;;-2;;-2;1;1;4;73;-49,75;-4,23;FALSE
Høgsberg;DC;5;1,46;0;100;;Strasbourg;18,29;52,126;51,866;51,603;3;;;;;;1;1;1;1;1;91,28;410;6;2;56;7;;;10;18;0;19;5;35;;2;;;1;;5;;;3;138,3;-129;-11,5;FALSE
Deuff;MD;5;0;0;0;;Nantes;23,92;41,358;41,8;41,795;;;;;;;;;;;;100;1;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Hrádecky;G;5;0,5;0;100;;Monaco;77,91;57,518;60,319;59,308;;;;;;;;;;;;NaN;;;;100;;2;2;;;0;2;3;;;;;2;1;;2;;;;53;-40;-13,93;TRUE
Goffi;DC;5;0;0;0;;Lille;76,08;71,844;67,073;68,927;;;;;;;;;;;;86,36;33;;1;66,67;1;;;5;;100;1;1;7;;1;;;;;;;;1;82,5;-70;-6,5;FALSE
Guindo;DL;5;0;0;0;;Brest;60,63;46,703;47,511;48,014;;;;;;;;;;;;95,83;18;;1;50;;;;2;;50;;;1;;;;;;;2;;;;11,5;-6,83;0,1;FALSE
Koumbassa;DC;5;0;0;0;;Toulouse;67,12;53,299;54,256;54,084;;;;;;;;;;;;100;4;;1;100;;;;;1;0;1;;;;;;;-1;;-3;;;;25;;2,3;FALSE
Cabral;MO;5;0;0;0;;Monaco;77,91;57,518;60,319;59,308;;;;;;;1;1;1;1;;100;19;1;1;33,33;;;;;1;0;;;1;;1;1;;-1;;-2;;;;46;-28,5;-1,2;FALSE
Amian;DL;4,93;0,61;0;100;6;Nantes;23,92;41,358;41,8;41,795;1,5;;;;;1;4;10;1;6;2;77,33;439;3;7;61,7;6;;;17;10;60;31;5;82;2;9;8;;-2;;-2;;1;2;130,07;-138,07;-11,39;FALSE
Hakimi;DL;4,93;0,45;0;57;6;Paris;81,71;86,587;84,868;85,501;3;;;;;1;6;29;3;21;4;89,69;564;2;8;40;5;;;10;11;56,52;3;5;73;5;11;5;;4;;8;1;4;10;133,86;-150,79;-20,03;FALSE
Danois;MD;4,93;0,35;0;100;;Auxerre;42,71;43,938;41,734;43,012;2;;;;;2;6;19;4;11;;87,01;418;6;10;40,51;9;;;24;21;50;1;10;77;12;9;9;;-3;;-5;1;2;17;186,86;-169;-16,83;FALSE
